City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
156,coyhaique,-45.5752,-45.5752,46.35,61,75,10.36,CL,1693143815
157,kavaratti,10.5669,10.5669,81.34,78,99,10.92,IN,1693143815
158,at taj,24.2049,24.2049,108.91,9,0,8.93,LY,1693143815
159,aasiaat,68.7098,68.7098,37.94,84,100,9.66,GL,1693143816
160,polyarnyy,69.1989,69.1989,50.68,79,100,9.64,RU,1693143742
161,taroa,8.7058,8.7058,81.72,81,100,13.47,MH,1693143816
162,yanbu,24.0891,24.0891,98.64,53,20,11.5,SA,1693143711
163,qaqortoq,60.7167,60.7167,44.85,75,9,7.52,GL,1693143817
164,palu,-0.8917,-0.8917,76.01,96,88,2.71,ID,1693143555
165,priargunsk,50.3691,50.3691,60.35,62,100,2.48,RU,1693143817
166,elizabeth city,36.2946,36.2946,83.05,93,75,12.66,US,1693143818
167,havre,49.5833,49.5833,66.34,82,100,17.27,FR,1693143818
168,port lincoln,-34.7333,-34.7333,53.92,72,94,7.54,AU,1693143617
169,korsakov,46.6328,46.6328,64.24,93,100,7.14,RU,1693143820
170,saint-philippe,-21.3585,-21.3585,76.59,82,47,12.8,RE,1693143820
171,gaigeturi,33.4644,33.4644,82.45,78,40,8.05,KR,1693143821
172,dingtao,35.0683,35.0683,64.6,94,100,16.42,CN,1693143821
173,okha,53.5739,53.5739,52.12,90,73,6.85,RU,1693143821
174,pacific grove,36.6177,36.6177,60.64,94,0,1.99,US,1693143822
175,merizo village,13.2658,13.2658,81.16,97,100,18.41,GU,1693143822
176,angaur state,6.906,6.906,82.76,83,100,16.13,PW,1693143822
177,cooper's town,26.8667,26.8667,83.34,75,45,9.04,BS,1693143822
178,la'ie,21.6477,21.6477,76.1,77,6,5.01,US,1693143823
179,kuraymah,18.55,18.55,107.67,18,85,16.49,SD,1693143823
180,sint michiel liber,12.15,12.15,87.62,70,40,9.22,CW,1693143824
181,ulsteinvik,62.3432,62.3432,60.91,90,100,10.0,NO,1693143824
182,happy valley-goose bay,53.3168,53.3168,52.11,93,100,8.05,CA,1693143825
183,nadvoitsy,63.8667,63.8667,56.79,64,99,9.1,RU,1693143825
184,ciudad melchor muzquiz,27.8833,27.8833,83.8,49,3,2.91,MX,1693143825
185,chernyshevskiy,63.0128,63.0128,56.53,57,0,2.24,RU,1693143826
186,cartagena,10.3997,10.3997,82.02,83,0,4.61,CO,1693143664
187,termas de rio hondo,-27.4998,-27.4998,61.07,37,0,8.16,AR,1693143827
188,jining,35.405,35.405,64.72,92,100,12.82,CN,1693143723
189,anadyr,64.75,64.75,41.5,87,0,6.71,RU,1693143827
190,chakwal,32.9334,32.9334,86.99,55,3,2.77,PK,1693143827
191,papatowai,-46.5619,-46.5619,36.34,85,79,7.87,NZ,1693143828
192,loreto,22.2667,22.2667,61.63,77,90,7.11,MX,1693143828
193,nar'yan-mar,67.6713,67.6713,45.84,88,100,10.58,RU,1693143829
194,sitka,57.0531,57.0531,57.09,94,75,3.44,US,1693143829
195,saipan,15.1355,15.1355,81.3,94,40,6.91,MP,1693143655
196,guerrero negro,27.9769,27.9769,68.85,85,9,6.6,MX,1693143831
197,doaba,33.4244,33.4244,85.73,47,8,4.59,PK,1693143831
198,jwaneng,-24.6004,-24.6004,74.84,6,23,16.46,BW,1693143831
199,batticaloa,7.7102,7.7102,85.73,70,100,13.49,LK,1693143793
200,auki,-8.7676,-8.7676,74.86,89,98,3.71,SB,1693143832
201,puerto madryn,-42.7692,-42.7692,54.48,36,0,23.47,AR,1693143833
202,port alfred,-33.5906,-33.5906,63.18,68,56,5.01,ZA,1693143833
